"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"5ª DE","2020-07-11",65,1484,3156,81697,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018164681689658128,0,0,2868,"Crescendo 2","1826|1868|1984|1922|2132|2373|2664|2725|2853|2885|2969|2958|2991|2868",50,"Crescendo 2",NaN,16,19
"3ª DE","2020-07-11",3,289,341,14574,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.019829833950871414,0,0,260,"Aproximadamente o mesmo","260|261|271|287|271|274|297|301|293|292|298|290|276|260",5,"Diminuindo",NaN,27,0
"6ª DE","2020-07-11",21,654,885,24146,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02708523150832436,0,0,754,"Crescendo 3","581|588|597|593|604|619|648|657|670|688|756|746|742|754",27,"Crescendo 2",NaN,18,15
"5ª DE","2020-07-12",42,1525,2721,84422,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018064011750491576,0,0,2986,"Crescendo 2","1868|1984|1922|2132|2373|2664|2725|2853|2885|2969|2958|2991|2868|2986",50,"Crescendo 2",NaN,16,19
"3ª DE","2020-07-12",5,294,257,14830,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.019824679703304114,0,0,282,"Crescendo 3","261|271|287|271|274|297|301|293|292|298|290|276|260|282",6,"Aproximadamente o mesmo",NaN,28,0
"6ª DE","2020-07-12",14,668,264,24410,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.027365833674723474,0,0,759,"Crescendo 3","588|597|593|604|619|648|657|670|688|756|746|742|754|759",28,"Crescendo 2",NaN,19,15
"5ª DE","2020-07-13",63,1589,1827,86230,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.01842746144033399,0,0,2941,"Crescendo 3","1984|1922|2132|2373|2664|2725|2853|2885|2969|2958|2991|2868|2986|2941",54,"Crescendo 2",NaN,16,19
"3ª DE","2020-07-13",9,303,212,15041,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020144937171730604,0,0,294,"Crescendo 3","271|287|271|274|297|301|293|292|298|290|276|260|282|294",6,"Crescendo 3",NaN,29,0
"6ª DE","2020-07-13",24,692,206,24615,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02811293926467601,0,0,742,"Crescendo 3","597|593|604|619|648|657|670|688|756|746|742|754|759|742",28,"Crescendo 2",NaN,20,15
"5ª DE","2020-07-14",74,1663,3972,90214,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018433945950739352,0,0,3074,"Crescendo 2","1922|2132|2373|2664|2725|2853|2885|2969|2958|2991|2868|2986|2941|3074",59,"Crescendo 2",NaN,16,19
"3ª DE","2020-07-14",11,314,306,15354,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02045069688680474,0,0,286,"Aproximadamente o mesmo","287|271|274|297|301|293|292|298|290|276|260|282|294|286",7,"Crescendo 2",NaN,29,29
"6ª DE","2020-07-14",54,746,1020,25639,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02909629860759,0,0,740,"Crescendo 3","593|604|619|648|657|670|688|756|746|742|754|759|742|740",31,"Crescendo 2",NaN,20,15
"5ª DE","2020-07-15",35,1698,1909,92118,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018432879567511235,0,0,2939,"Crescendo 3","2132|2373|2664|2725|2853|2885|2969|2958|2991|2868|2986|2941|3074|2939",56,"Crescendo 2",NaN,16,19
"3ª DE","2020-07-15",3,317,460,15803,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020059482376763905,0,0,292,"Crescendo 3","271|274|297|301|293|292|298|290|276|260|282|294|286|292",7,"Crescendo 3",NaN,30,30
"6ª DE","2020-07-15",38,784,795,26436,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02965652897563928,0,0,664,"Crescendo 3","604|619|648|657|670|688|756|746|742|754|759|742|740|664",33,"Crescendo 2",NaN,20,15
"5ª DE","2020-07-16",19,1717,1784,93898,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.01828579948454706,0,0,2729,"Crescendo 3","2373|2664|2725|2853|2885|2969|2958|2991|2868|2986|2941|3074|2939|2729",51,"Crescendo 3",NaN,17,20
"6ª DE","2020-07-16",36,820,2723,29160,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.028120713305898493,0,0,957,"Crescendo 2","619|648|657|670|688|756|746|742|754|759|742|740|664|957",32,"Crescendo 2",NaN,18,15
"3ª DE","2020-07-16",4,321,385,16184,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.019834404349975285,0,0,315,"Crescendo 3","274|297|301|293|292|298|290|276|260|282|294|286|292|315",6,"Crescendo 3",NaN,30,31
