"country","state","city","ibgeID","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","_source","date","newCases","newDeaths","lat","lon","nrDiasDobraCasos","nrDiasDobraMortes"
"Brazil","PR","Marumbi/PR","4115507","0","2","0.00000","42.74418","0.00000","MS","2020-05-23","0","0","-23.7070343","-51.6408276",0,0
"Brazil","SP","Marília/SP","3529005","1","42","0.41862","17.58190","0.02381","SES","2020-05-23","1","0","-22.217108","-49.95006",0,0
"Brazil","BA","Mascote/BA","2920908","0","0","0.00000","0.00000","0.00000","MS","2020-05-23","0","0","-15.5645474","-39.3026663",0,0
"Brazil","CE","Massapê/CE","2308005","8","126","20.65209","325.27041","0.06349","MS","2020-05-23","0","0","-3.5239058","-40.3423107",0,0
"Brazil","PB","Massaranduba/PB","2509206","0","16","0.00000","114.95905","0.00000","MS","2020-05-23","0","0","-7.1812758","-35.7330712",0,0
"Brazil","SC","Massaranduba/SC","4210605","1","1","5.91156","5.91156","1.00000","SES","2020-05-23","0","0","-26.610868","-49.005351",0,0
"Brazil","AL","Mata Grande/AL","2705002","0","0","0.00000","0.00000","0.00000","SES","2020-05-23","0","0","-9.118243","-37.732298",0,0
"Brazil","MA","Mata Roma/MA","2106409","1","35","5.94212","207.97433","0.02857","MS","2020-05-23","0","0","-3.6210147","-43.1156951",0,0
"Brazil","BA","Mata de São João/BA","2921005","0","33","0.00000","70.84129","0.00000","MS","2020-05-23","0","0","-12.530685","-38.300898",0,0
"Brazil","PB","Mataraca/PB","2509305","0","12","0.00000","142.28124","0.00000","MS","2020-05-23","0","0","-6.59673","-35.05308",0,0
"Brazil","PR","Matelândia/PR","4115606","0","1","0.00000","5.57320","0.00000","MS","2020-05-23","0","0","-25.2404183","-53.9835004",0,0
"Brazil","MG","Materlândia/MG","3140605","0","1","0.00000","22.42655","0.00000","SES","2020-05-23","1","0","-18.473889","-43.06",0,0
"Brazil","MG","Mateus Leme/MG","3140704","1","3","3.21688","9.65065","0.33333","SES","2020-05-23","1","1","-19.986666","-44.428056",0,0
"Brazil","MG","Mathias Lobato/MG","3171501","0","1","0.00000","31.22073","0.00000","SES","2020-05-23","0","0","-18.5760459","-41.9155448",0,0
"Brazil","MG","Matias Barbosa/MG","3140803","0","3","0.00000","20.73542","0.00000","SES","2020-05-23","1","0","-21.8691643","-43.3180624",0,0
"Brazil","MG","Matias Cardoso/MG","3140852","0","2","0.00000","17.92597","0.00000","SES","2020-05-23","0","0","-14.8603469","-43.9210644",0,0
"Brazil","PI","Matias Olímpio/PI","2206100","1","3","9.14411","27.43233","0.33333","MS","2020-05-23","0","0","-3.7150636","-42.5547925",0,0
"Brazil","MA","Matinha/MA","2106508","0","90","0.00000","385.10911","0.00000","MS","2020-05-23","0","0","-3.102212","-45.032208",0,0
"Brazil","PB","Matinhas/PB","2509339","0","5","0.00000","111.11111","0.00000","MS","2020-05-23","1","0","-7.1219554","-35.7713426",0,0
"Brazil","PR","Matinhos/PR","4115705","0","3","0.00000","8.64055","0.00000","MS","2020-05-23","0","0","-25.8187344","-48.5342813",0,0
"Brazil","MG","Matipó/MG","3140902","0","2","0.00000","10.57753","0.00000","SES","2020-05-23","1","0","-20.2896695","-42.3426599",0,0
"Brazil","RS","Mato Castelhano/RS","4312138","1","2","39.37008","78.74016","0.50000","SES","2020-05-23","0","0","-28.2782729","-52.1948111",0,0
"Brazil","PB","Mato Grosso/PB","2509370","0","3","0.00000","103.16369","0.00000","MS","2020-05-23","0","0","-6.5433859","-37.7146519",0,0
"Brazil","RS","Mato Leitão/RS","4312153","0","6","0.00000","132.89037","0.00000","SES","2020-05-23","1","0","-29.5281244","-52.1278069",0,0
"Brazil","MG","Matozinhos/MG","3141108","0","3","0.00000","7.93231","0.00000","SES","2020-05-23","1","0","-19.5576547","-44.0816035",0,0
"Brazil","AL","Matriz de Camaragibe/AL","2705101","1","9","4.05811","36.52301","0.11111","SES","2020-05-23","0","0","-9.154373","-35.524302",0,0
"Brazil","MT","Matupá/MT","5105606","0","4","0.00000","24.14584","0.00000","SES","2020-05-23","0","0","-10.1683242","-54.9346194",0,0
"Brazil","PB","Maturéia/PB","2509396","0","7","0.00000","106.56112","0.00000","MS","2020-05-23","0","0","-7.264629","-37.3383363",0,0
"Brazil","SP","Matão/SP","3529302","0","19","0.00000","22.84478","0.00000","SES","2020-05-23","1","0","-21.6033611","-48.3660603",0,0
"Brazil","MA","Matões do Norte/MA","2106631","0","1","0.00000","5.97193","0.00000","MS","2020-05-23","0","0","-3.6268881","-44.5547543",0,0
"Brazil","TO","Maurilândia do Tocantins/TO","1712801","0","12","0.00000","350.26270","0.00000","MS","2020-05-23","0","0","-5.951688","-47.512492",0,0
"Brazil","GO","Maurilândia/GO","5213004","0","1","0.00000","7.10227","0.00000","SES","2020-05-23","0","0","-17.9718589","-50.3388361",0,0
"Brazil","CE","Mauriti/CE","2308104","6","16","12.50990","33.35974","0.37500","MS","2020-05-23","0","0","-7.3870095","-38.7737751",0,0
"Brazil","SP","Mauá/SP","3529401","53","766","11.20716","161.97517","0.06919","SES","2020-05-23","44","1","-23.6669527","-46.4616922",0,0
"Brazil","AM","Maués/AM","1302900","26","533","40.68539","834.05054","0.04878","MS","2020-05-23","66","2","-3.3795798","-57.7196072",0,0
"Brazil","RN","Maxaranguape/RN","2407500","1","3","8.08342","24.25026","0.33333","MS","2020-05-23","0","0","-5.5175989","-35.2585401",0,0
"Brazil","RS","Maximiliano de Almeida/RS","4312203","0","0","0.00000","0.00000","0.00000","SES","2020-05-23","0","0","-27.6326512","-51.8046768",0,0
"Brazil","AP","Mazagão/AP","1600402","2","119","9.24556","550.11095","0.01681","MS","2020-05-23","6","0","-0.1160565","-51.2861759",0,0
"Brazil","BA","Medeiros Neto/BA","2921104","0","4","0.00000","17.63047","0.00000","MS","2020-05-23","0","0","-17.3714581","-40.2224736",0,0
"Brazil","PR","Medianeira/PR","4115804","0","17","0.00000","36.79813","0.00000","MS","2020-05-23","0","0","-25.2954233","-54.0940666",0,0
"Brazil","PA","Medicilândia/PA","1504455","1","33","3.16486","104.44029","0.03030","SES","2020-05-23","8","0","-3.4438388","-52.8889236",0,0
"Brazil","MG","Medina/MG","3141405","0","7","0.00000","33.62152","0.00000","SES","2020-05-23","0","0","-16.2270466","-41.4763373",0,0
"Brazil","SC","Meleiro/SC","4210803","0","5","0.00000","71.27584","0.00000","SES","2020-05-23","1","0","-28.8303183","-49.6349851",0,0
"Brazil","PA","Melgaço/PA","1504505","3","48","10.84834","173.57344","0.06250","SES","2020-05-23","0","0","-1.803202","-50.714927",0,0
"Brazil","RJ","Mendes/RJ","3302809","1","15","5.37230","80.58451","0.06667","MS","2020-05-23","0","0","-22.5269113","-43.7332604",0,0
"Brazil","SP","Mendonça/SP","3529500","0","4","0.00000","72.85974","0.00000","SES","2020-05-23","1","0","-21.1838813","-49.579059",0,0
"Brazil","SP","Meridiano/SP","3529609","0","1","0.00000","26.06882","0.00000","SES","2020-05-23","0","0","-20.3547223","-50.172574",0,0
