ibgeID,centroid_long,centroid_lat,lon,lat,populacao
2906808,-39.47418619418533,-10.7310511974575,-39.498199,-10.6671448,34834
2210805,-42.023768480976806,-7.798744245268465,-41.9081183,-7.860528,12711
4312617,-51.230224867642704,-28.38596030245051,-51.1836226,-28.3162856,3162
1506559,-46.927106670940354,-1.6574758406614611,-46.9020697,-1.5220049,19848
3541307,-52.17486986181588,-21.91064424239755,-52.11114,-21.765074,44200
2209708,-42.500935684186665,-7.198708421273083,-42.5414016,-7.2460489,6423
5103452,-56.96285748417749,-14.724956775453698,-57.0480299,-14.7252735,9462
3529203,-51.12340745815709,-22.172371057397875,-51.170949,-22.146153,26461
4102901,-51.52510345424017,-26.170652829111432,-51.5533319,-26.161281,16389
1100031,-60.639874194526804,-13.474891707345902,-60.5424442,-13.4956065,5312
4109302,-52.86515286268465,-25.05436995988845,-52.867811,-25.10035,12472
2605301,-39.74814712554603,-7.51603235953554,-39.722015,-7.515434,31825
5105002,-58.86584373177955,-15.309638066803878,-58.8683137,-15.3407762,8793
1703305,-47.87922625018082,-9.012820692148807,-48.165043,-8.96306,4894
4319802,-54.75419768100616,-29.709984720506647,-54.682643,-29.688161,8721
2300705,-38.200325718215616,-5.517580420281611,-38.2719351,-5.5190371,17146
2205565,-41.59999495393761,-8.568884104427328,-41.5295775,-8.4798938,4655
4128104,-53.41468574286236,-23.679713255256505,-53.3079895,-23.7617057,111557
2211308,-41.79909634397845,-6.3671092914485,-41.7382812,-6.4048149,20918
3111408,-48.64785699212979,-19.713421976060072,-48.572223,-19.760833,8151
3517406,-48.364099124406955,-20.314031904365255,-48.3148818,-20.3245873,40790
1715259,-46.55024475269115,-11.77117186731877,-46.6254107,-11.8199253,2722
3530201,-51.99794162060277,-22.34922743964592,-51.907143,-22.2925861,18259
2602803,-37.1208573184126,-8.649017668515617,-37.157296,-8.6239732,58378
3113404,-42.10193014761121,-19.71213163593707,-42.140533,-19.7900887,92062
4117057,-52.5748628409804,-25.226019224323938,-52.544682,-25.305376,11554
4318622,-49.961656568385635,-28.64855812999081,-50.0645582,-28.747731,3527
5107107,-58.297357909851115,-15.566594809034921,-58.177217,-15.627584,18906
5207600,-50.85553611270158,-16.152254622458532,-50.7795674,-16.185602,5637
5203302,-48.91153821906238,-16.9574661730553,-48.9513071,-16.9692949,29975
3131703,-43.29998128677358,-19.60055716378452,-43.2267011,-19.6186264,120060
3144003,-41.44694295053151,-19.919211207318753,-41.438333,-19.817223,26979
3146107,-43.61039348885549,-20.39118060287886,-43.5036344,-20.3851692,74281
2910602,-37.88775342591612,-11.935681150650758,-37.9453,-11.800614,37237
3135605,-44.47581390837347,-17.209919099521,-44.4383463,-17.2328217,7531
3158508,-43.90119975660605,-18.91579268994699,-44.040833,-19.0075,7642
2201101,-43.95116313465616,-10.166331036832222,-43.9489525,-10.1346855,11289
2206704,-42.74561211579325,-7.052263083546886,-42.6707675,-6.9709737,7339
5211206,-49.95041731526725,-15.547648993554635,-49.9489571,-15.5605889,25768
3104809,-44.198072604019885,-18.108846800933193,-44.2651945,-18.1092963,4869
2205524,-44.17385318460036,-10.420380524551822,-44.2397326,-10.3273669,5627
2931004,-41.19543765091163,-14.14603296906891,-41.247271,-14.019662,20403
3504503,-48.89403197167945,-23.0751418886447,-48.9259103,-23.1045215,90655
2314102,-41.135952125366444,-3.544983976801815,-41.091504,-3.5667684,60889
4127700,-53.777552386517854,-24.70485940590224,-53.7402476,-24.7222438,140635
2311009,-41.07746614690493,-4.7990579087935155,-40.9249168,-4.7446727,12336
2919306,-41.337278954802166,-12.425036982304045,-41.3901717,-12.5634288,11409
4318507,-51.66530365091488,-31.761626603483233,-52.0406082,-32.0145182,27568
2911709,-42.81992323883896,-14.203927264612256,-42.779943,-14.223066,84481
5211602,-51.03429092012436,-16.675830841875847,-50.792374,-16.6050122,2370
3302403,-41.977666035924386,-22.295610427788123,-41.7866922,-22.3712958,256672
1501303,-48.63427365624805,-1.4984931683744727,-48.6190679,-1.5107945,124680
2400208,-37.014100599158205,-5.526674324355337,-36.9139541,-5.5836157,58017
2310506,-39.847080780504285,-5.496566189754383,-39.7166286,-5.455674,43258
1507755,-49.569992873000615,-6.83893626421261,-49.6993876,-6.94135,5930
3201902,-40.849101600392885,-20.30779498510872,-40.6585797,-20.3646483,33850
3101003,-41.52171397444241,-15.683549479720153,-41.4601975,-15.7469091,13539
3508009,-48.575343459953174,-23.75208264489239,-48.598924,-23.79849,19878
4118402,-52.51057941177387,-22.92136882525818,-52.461724,-23.08165,88374
5200803,-46.631846574902696,-14.566373550899161,-46.4959897,-14.483911,8660
4105300,-53.76177552846601,-25.246280264202262,-53.8494214,-25.1484973,11765
3113008,-41.58347868202879,-17.17360287850772,-41.6976554,-17.1884104,23685
5004106,-55.996418150277904,-21.538577552073,-55.96134153440401,-21.5375346,9895
2208650,-41.351216667367055,-8.516038793492484,-41.4173529,-8.5805141,8992
2210102,-42.58237782473419,-7.482407084977809,-42.5661301,-7.4938166,3745
3137536,-46.50158654318224,-17.766325896525945,-42.5319222,-17.4134691,9532
2202703,-41.54235644186794,-3.453693007685217,-41.555851,-3.4691882,27787
1501758,-48.431859866531234,-5.735575649361373,-48.4037308,-5.7011449,7380
2925907,-39.06971971043104,-10.775546187620632,-39.2075228,-10.7513728,27580
2200053,-41.00180401924728,-8.306056422605614,-41.083059,-8.219542,7084
1716109,-48.82610893613722,-10.221105585015186,-48.886759,-10.1752474,51252
3107406,-45.28615726429529,-19.684524266688303,-45.2517288,-19.7375242,50605
2205532,-43.16567687740056,-9.014519555290104,-42.1470309,-5.4435001,4763
1507508,-48.6967710972307,-5.447325654449766,-48.7911109,-5.3617017,13996
1720655,-48.007451623350164,-11.132120216385903,-48.16937,-11.147099,5403
3167103,-43.401733790615026,-18.536496120051858,-43.379445,-18.604444,20966
4215505,-50.44651259004345,-26.925935111477916,-50.4182571,-26.9658952,16830
2614808,-38.076532204689826,-8.956764218892419,-38.1499125,-9.1051762,25765
3150570,-45.247289713126136,-16.04935351017486,-45.1466972,-16.0572809,7507
5215256,-49.72867077653777,-13.251188864235358,-49.5081599,-13.2419575,4495
4310553,-55.26726481716183,-28.810027573497923,-55.2360598,-28.7962478,3465
2106904,-45.32291847982811,-3.486161713913855,-45.2515472,-3.4842036,33434
3140001,-43.33136339736894,-20.329099638740182,-43.4174862,-20.3781468,60724
2911402,-38.416547713876575,-9.194175070875135,-38.2552548,-9.3429057,15221
2612455,-40.30188076997733,-8.291054331050473,-40.3316611,-8.2392548,15398
2915403,-39.73167022082253,-15.14839069983482,-39.7230939,-15.1433695,6682
4203808,-50.53345444387038,-26.2482711063875,-50.395001,-26.176591,54401
3132107,-44.12508041466232,-15.177119123468847,-44.092222,-15.1,18153
2901353,-39.89164723900517,-10.291394361769903,-39.8334411,-10.3445708,14595
3168002,-42.05605895830765,-15.82452866721098,-42.2270207,-15.8080842,34132
2932507,-39.14814966836741,-15.233203108801858,-39.0744599,-15.2921699,19002
3152170,-41.474465036481895,-16.83421592107885,-41.5039586,-16.7527503,12121
5209408,-46.43197613740913,-13.890035563208404,-46.4781536,-13.9393794,3893
3521200,-48.546381031849826,-24.512720299200325,-48.594028,-24.5843214,4218
3529005,-49.98305506012516,-22.17775599302086,-49.95006,-22.217108,238882
2208809,-42.49046405700929,-6.352525606942605,-42.6871407,-6.2316966,17978
2930774,-40.86532578026624,-9.663381270730994,-40.7957473,-9.469775,23191
2601805,-37.98768846525497,-8.265354435289304,-38.0351767,-8.2742779,12719
2919702,-40.40089835157974,-15.545745485730029,-40.4226078,-15.5610861,18755
1710904,-48.032959770281295,-8.316536233212155,-48.1054968,-8.3832116,3777
3168101,-46.86834390373048,-19.9158484273268,-46.823056,-19.9225,4773
